,Brand,Processor,Operating_System,Ram_1,SSD,HDD,Touch_Screen,MRP,Price
631,ASUS,r9,win11,16,1000,0,no,"₹1,96,990",196990
632,Lenovo,Celeron,Chrome,4,0,0,yes,"₹28,490",28490
633,Lenovo,i5,win10,16,512,0,no,"₹66,990",66990
634,acer,i5,win11,8,512,0,no,"₹86,999",86999
635,ASUS,i3,win10,8,256,0,no,"₹36,990",36990
636,Lenovo,r5,win11,8,512,0,no,"₹38,705",38705
637,ASUS,r7,win11,16,1000,0,no,"₹85,990",85990
638,Lenovo,Celeron,win11,4,256,0,no,"₹23,250",23250
639,DELL,i3,win10,8,256,0,no,"₹42,390",42390
640,Lenovo,r3,win11,8,512,0,no,"₹35,590",35590
641,ASUS,r9,win11,16,1000,0,no,"₹1,50,990",150990
642,Lenovo,i5,win10,8,512,0,no,"₹58,990",58990
643,ASUS,i7,win10,16,1000,0,yes,"₹1,10,990",110990
645,DELL,r5,win11,8,512,0,no,"₹71,990",71990
646,ASUS,r9,win11,16,1000,0,no,"₹1,94,990",194990
647,Lenovo,r5,win11,8,512,0,no,"₹44,990",44990
648,Lenovo,i5,win10,16,512,0,yes,"₹84,990",84990
649,ASUS,r7,win11,16,1000,0,yes,"₹1,19,990",119990
650,Lenovo,i3,win11,8,256,0,no,"₹36,990",36990
651,Lenovo,i3,win11,8,512,0,no,"₹39,990",39990
652,MSI,i7,win10,32,1000,0,no,"₹2,14,990",214990
653,MSI,i3,win10,8,512,0,no,"₹48,790",48790
654,DELL,r7,win11,16,512,0,no,"₹76,000",76000
655,ASUS,r9,win10,32,1000,0,yes,"₹2,24,990",224990
656,RedmiBook,i5,win11,8,512,0,no,"₹39,990",39990
657,ASUS,r9,win11,16,1000,0,no,"₹1,96,990",196990
658,Infinix,i3,win11,8,512,0,no,"₹49,990",49990
659,ASUS,i7,win11,16,512,0,yes,"₹1,64,990",164990
660,Lenovo,r5,win11,8,512,0,no,"₹38,705",38705
661,ASUS,r7,win11,16,1000,0,no,"₹85,990",85990
662,HP,r3,win11,8,256,0,no,"₹31,490",31490
663,DELL,i3,win11,8,512,0,no,"₹48,077",48077
664,ASUS,r9,win10,16,1000,0,no,"₹1,54,990",154990
665,ASUS,i7,win10,32,1000,0,yes,"₹2,24,990",224990
666,Lenovo,r3,win11,8,512,0,no,"₹35,590",35590
667,ASUS,r9,win11,16,1000,0,no,"₹1,50,990",150990
668,ASUS,i5,win10,8,0,1000,no,"₹44,990",44990
669,ASUS,i5,win10,8,512,0,no,"₹65,990",65990
670,Lenovo,r7,win11,8,512,0,no,"₹73,490",73490
671,ASUS,r9,win11,16,1000,0,no,"₹1,94,990",194990
672,ASUS,i3,win10,8,0,1000,no,"₹31,990",31990
673,Lenovo,i3,win10,8,256,0,no,"₹38,980",38980
674,HP,r5,win10,8,512,0,no,"₹68,990",68990
675,DELL,i3,win10,8,256,0,no,"₹43,090",43090
676,Lenovo,i3,win11,8,512,0,no,"₹39,990",39990
677,RedmiBook,i5,win11,8,512,0,no,"₹39,990",39990
678,ASUS,r9,win10,16,1000,0,no,"₹1,54,990",154990
679,ASUS,i5,win10,8,512,0,no,"₹65,990",65990
680,ASUS,r9,win11,16,1000,0,no,"₹1,96,990",196990
681,Lenovo,r5,win11,8,512,0,no,"₹38,705",38705
682,DELL,i3,win11,8,512,0,no,"₹49,348",49348
683,DELL,i7,win11,16,512,0,no,"₹2,21,774",221774
684,Lenovo,r5,win10,8,512,0,no,"₹73,990",73990
685,DELL,r7,win11,16,512,0,no,"₹77,990",77990
686,ASUS,r7,win11,16,1000,0,no,"₹85,990",85990
687,Lenovo,r3,win11,8,512,0,no,"₹35,590",35590
690,ASUS,r9,win11,16,1000,0,no,"₹1,50,990",150990
691,Lenovo,i3,win11,8,256,0,no,"₹36,990",36990
692,DELL,i3,win11,8,512,0,no,"₹48,077",48077
693,DELL,r5,win11,8,512,0,no,"₹52,414",52414
694,ASUS,i7,win11,16,1000,0,no,"₹1,79,990",179990
695,ASUS,Celeron,Chrome,4,0,0,yes,"₹25,990",25990
696,Lenovo,i3,win11,8,256,0,no,"₹36,990",36990
697,Lenovo,i3,win11,8,512,0,no,"₹39,990",39990
698,DELL,i5,win11,16,512,0,yes,"₹80,615",80615
699,ASUS,r7,win11,16,1000,0,no,"₹1,55,990",155990
700,RedmiBook,i5,win11,8,512,0,no,"₹39,990",39990
701,ASUS,r9,win11,16,1000,0,no,"₹1,96,990",196990
702,Infinix,i7,win11,16,512,0,no,"₹49,990",49990
703,Lenovo,i7,win11,16,1000,0,no,"₹1,57,990",157990
704,ASUS,i5,win11,16,512,0,no,"₹92,990",92990
705,ASUS,r7,win11,16,1000,0,yes,"₹1,71,990",171990
706,Lenovo,r5,win11,8,512,0,no,"₹38,705",38705
707,ASUS,r7,win11,16,1000,0,no,"₹85,990",85990
708,ASUS,i5,win10,8,0,1000,no,"₹44,990",44990
709,ASUS,r9,win11,16,1000,0,yes,"₹1,51,990",151990
710,Lenovo,r3,win11,8,512,0,no,"₹35,590",35590
711,ASUS,r9,win11,16,1000,0,no,"₹1,50,990",150990
713,DELL,i5,win11,16,512,0,no,"₹76,590",76590
714,HP,r7,win10,16,512,0,no,"₹90,000",90000
715,ASUS,Celeron,Chrome,4,0,0,yes,"₹23,490",23490
716,Lenovo,r7,win11,8,512,0,no,"₹73,490",73490
717,ASUS,r9,win11,16,1000,0,no,"₹1,94,990",194990
718,ASUS,i7,win11,16,512,0,yes,"₹1,25,990",125990
719,Lenovo,i5,win10,8,256,1000,no,"₹50,990",50990
